epoch,train_mse_pca,val_mse_pca
1,268.5632917611518,155.87129376192047
2,111.08475008865337,139.31111388587055
3,93.60637029630978,134.20353584110458
4,84.99770060336888,131.76156780977203
5,79.54421651429995,133.73146443971447
6,75.93174291692898,132.80524935297004
7,72.32357521119022,131.69793694008123
8,70.61362412299512,130.4814801999661
9,67.91672752439514,133.0980148673617
10,65.76809548377474,131.65602613278958
11,64.75149927780566,135.42475898277033
12,63.36976910307963,131.99202187408304
13,62.81075936127122,133.63518549243048
